Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Єрьоменко,Ярина,Григорівна,Жіноча,07-07-2005,Диригент,хутір Черкаси,"провулок Вознесенський, буд. 406 кв. 413, Заліщики, 50563",049 202 63 94,zdubenko@example.com
Сірченко,Ольга,Анатоліївна,Жіноча,27-05-1956,Клавішник,село Луганськ,"узвіз Супутників, буд. 161 кв. 44, Баштанка, 70237",060 645-77-35,iushchenkodaryna@example.net
Худяк,Валерій,Анатолійович,Чоловіча,14-01-1978,Геолог,місто Лубни,"сквер Виноградна, буд. 9, Олександрія, 86749",+380 76 092-61-87,barannykkhoma@example.com
Палій,Онисим,Романович,Чоловіча,26-01-1959,Диригент,селище Єнакієве,"площа Евлії Челебі, буд. 330, Вишневе, 88286",+380 87 035 98 60,marusiabezditko@example.com
Гайдамака,Данило,Васильович,Чоловіча,16-11-2002,Етнограф,хутір Феодосія,"проспект Студена, буд. 1, Іршава, 26675",044 903-09-06,ievdokymenkoostap@example.org
Колесниченко,Ярина,Василівна,Жіноча,10-12-1974,Кушнір,село Глухів,"провулок Віри Інбер, буд. 077, Сновськ, 83709",092 078-71-92,vtokar@example.org
Ватаманюк,Руслан,Дмитрович,Чоловіча,17-08-1980,Професор,село Бібрка,"узвіз Василя Капніста, буд. 74 кв. 87, Очаків, 54564",039 063-75-85,lutsenkoihor@example.com
Данько,Едита,Дмитрівна,Жіноча,02-04-1992,Бізнесмен,місто Світлодарськ,"шосе 19-й км Старокиївської дороги, буд. 419, Переяслав, 09613",+380 (08) 937-59-90,hteslia@example.net
Сімашкевич,Опанас,Іванович,Чоловіча,02-01-1953,Кінолог,місто Кам'янка-Дніпровська,"площа Ізмаїльська, буд. 45, Глиняни, 09301",041 040 78 80,leontii97@example.net
Бабʼюк,Одарка,Арсенівна,Жіноча,05-07-1966,Ботанік,селище Кривий Ріг,"вулиця Чорноморський 13-й, буд. 9, Підгородне, 43709",015 682-49-04,kteslia@example.com
Вітрук,Алевтин,Григорійович,Чоловіча,02-01-2001,Мовознавець,село Кролевець,"площа Вузький, буд. 7, Трускавець, 23590",782 52 70,ihnat28@example.com
Демиденко,Арсен,Ігорович,Чоловіча,14-10-1987,Кіноактор,місто Покров,"узвіз Проїзний 3-й, буд. 41 кв. 4, Горішні Плавні, 19075",+380 86 779-49-64,ivan96@example.org
Ґерета,Зиновій,Арсенович,Чоловіча,15-07-1958,Співак,селище Ізюм,"набережна Вітчизняна, буд. 16 кв. 69, Рубіжне, 31251",+380 49 991-20-56,borysirvanets@example.org
Василенко,Віктор,Михайлович,Чоловіча,14-05-1968,Електромонтажник,місто Приморськ,"узвіз Лиманчик 2-й Лінія 4-та, буд. 08, Лисичанськ, 52783",+380 33 623-38-66,mykhailo25@example.com
Саченко,Пилип,Іванович,Чоловіча,11-04-2007,Слідчий,хутір Запоріжжя,"провулок Проектний 5-й, буд. 70 кв. 1, Нова Одеса, 97640",454 13 19,nazarvatamaniuk@example.net
Гупало,Гордій,Дмитрович,Чоловіча,29-03-1941,Кінокритик,село Нетішин,"набережна Платанова, буд. 1 кв. 635, Гнівань, 10796",+380 11 406-62-74,drozdenkobohdanna@example.org
Чуйко,Ілля,Олександрович,Чоловіча,04-07-1980,Стропальник,селище Золоте,"провулок Сливовий, буд. 764 кв. 82, Калуш, 79061",+380 50 767-74-99,sofiia51@example.com
Величко,Орися,Євгенівна,Жіноча,24-03-1974,Інженер,село Новодністровськ,"узвіз Дачна, буд. 327 кв. 357, Білопілля, 70979",+380 31 477 37 76,parmeniemelianenko@example.net
Жученко,Роксолана,Ігорівна,Жіноча,01-06-1995,Патологоанатом,село Соснівка,"проспект Чернівецький, буд. 0 кв. 2, Синельникове, 40770",310-86-26,taraspetliura@example.net
Данчук,Руслан,Арсенович,Чоловіча,27-03-1962,Хореограф,місто Багачеве,"проспект Сортувальна 2-га, буд. 437, Чистякове, 38952",+380 51 632-36-80,artiukhdaryna@example.org
Кириленко,Ганна,Максимівна,Жіноча,10-11-2001,Композитор,село Городня,"шосе Моторний 1-й, буд. 487 кв. 7, Тлумач, 05026",+380 49 844-78-79,valerii85@example.com
Охримович,Марина,Іванівна,Жіноча,17-01-1978,Зоолог,хутір Маріуполь,"площа Лазурний 5-й, буд. 207 кв. 5, Сіверськ, 40201",+380 04 285-05-57,kyrylo55@example.net
Щириця,Георгій,Ігорович,Чоловіча,09-04-1987,Кушнір,село Дніпрорудне,"вулиця Квітнева, буд. 07, Бердичів, 90748",+380 56 583 48 05,hannahaivoronskyi@example.net
Цушко,Дан,Романович,Чоловіча,12-07-2004,Художник,хутір Ізяслав,"парк Лугова, буд. 684, Васильків, 80348",080-25-90,ivanfomenko@example.com
Асаула,Нестор,Романович,Чоловіча,01-10-1978,Геолог,селище Хмільник,"провулок Аеропортівський 3-й, буд. 821 кв. 0, Богодухів, 34348",+380 (39) 211-24-03,yieshchenko@example.org
Хорішко,Анжела,Дмитрівна,Жіноча,24-05-1983,Локсмайстер,місто Чугуїв,"вулиця Київське, буд. 51 кв. 96, Тернівка, 12062",065 172 78 87,obaklan@example.com
Каденюк,Михайло,Максимович,Чоловіча,15-06-1968,Актор,хутір Олександрівськ,"проспект Головна, буд. 284, Нова Каховка, 32895",030 152-04-73,fastenkostepan@example.com
Кириленко,Світлана,Максимівна,Жіноча,10-09-2006,Мірошник,селище Яготин,"вулиця Кафедральна, буд. 972 кв. 4, Ананьїв, 52518",+380 78 285-60-47,tieromenko@example.net
Дашкевич,Орхип,Михайлович,Чоловіча,01-02-1940,Фольклорист,село Дубляни,"провулок Селищний, буд. 6 кв. 205, Переяслав, 71816",+380 34 314 10 70,myroslav88@example.net
Ніколюк,Володимира,Сергіївна,Жіноча,19-04-1977,Доцент,село Привілля,"площа Лазурний 4-й, буд. 67, Бахмач, 78986",062 239 67 91,zhukvladyslav@example.net
Вишняк,Роман,Дмитрович,Чоловіча,18-07-1978,Пекар,місто Ічня,"площа Берегова, буд. 6, Запоріжжя, 52680",+380 09 354 90 30,qzaika@example.org
Оберемко,Борислав,Володимирович,Чоловіча,17-07-1948,Програміст,місто Лутугине,"набережна Суднобудівна, буд. 966 кв. 726, Устилуг, 34899",+380 (79) 753-56-90,iaremchukvarvara@example.com
Дурдинець,Олена,Романівна,Жіноча,04-12-1985,Дерун,хутір Херсон,"набережна Глиняна, буд. 40 кв. 7, Мала Виска, 21381",+380 22 120-69-72,eduard77@example.com
Цісик,Омелян,Олегович,Чоловіча,08-05-1980,Адвокат,селище Красилів,"провулок Елеваторна, буд. 538, Привілля, 83236",+380 98 130-80-78,sdavymuka@example.org
Зінкевич,Аніта,Юріївна,Жіноча,03-08-2002,Фрілансер,селище Бориспіль,"парк Квітки-Основ’яненка, буд. 292, Прип'ять, 93235",023 389 88 72,iakovenkoanzhela@example.org
Луценко,Опанас,Олегович,Чоловіча,21-08-1993,Економіст,село Тиврів,"шосе Вітчизняна, буд. 773 кв. 281, Апостолове, 99006",094 742-39-90,olenashmorhun@example.com
Корпанюк,Дарина,Василівна,Жіноча,07-02-1947,Хімік,село Коломия,"парк Кедровий, буд. 25 кв. 992, Овруч, 03640",082 813 58 88,emiliiafomenko@example.org
Чуприна,Левко,Олександрович,Чоловіча,10-04-1975,Громадський діяч,село Суходільськ,"провулок Ушинського, буд. 239, Олександрівськ, 60562",+380 59 814 27 34,havrylo99@example.com
Дахно,Артем,Анатолійович,Чоловіча,30-11-2000,Фізик,селище Кобеляки,"парк Аеродромний 1-й, буд. 345 кв. 513, Рогатин, 49879",+380 (62) 868-39-88,dashenkomarusia@example.net
Гречко,Ярема,Семенович,Чоловіча,19-03-2003,Біолог,місто Бережани,"провулок Басейний 2-й, буд. 7 кв. 5, Новий Розділ, 25282",+380 09 509-18-90,frants87@example.org
Масоха,Ярина,Дмитрівна,Жіноча,15-06-1987,Конструктор,селище Вилкове,"набережна Крайня, буд. 5, Краматорськ, 10975",+380 64 786-35-77,civashchenko@example.com
Лазаренко,Дан,Семенович,Чоловіча,16-07-2000,М'ясник,хутір Лутугине,"сквер Люстдорфський, буд. 51 кв. 15, Глухів, 96344",+380 70 248-65-21,vasylevychvitalii@example.com
Височан,Варвара,Юріївна,Жіноча,22-03-1946,Швачка,місто Торецьк,"набережна Чернігівський, буд. 5 кв. 000, Зимогір'я, 83121",371 61 70,zlatoslavaustenko@example.net
Медведенко,Костянтин,Романович,Чоловіча,02-08-1974,Астронавт,хутір Баранівка,"парк Херсонський сквер, буд. 6 кв. 58, Бахчисарай, 12924",+380 06 695-97-28,trokhymdubenko@example.net
Фастенко,Наталія,Андріївна,Жіноча,03-12-1967,Шериф,село Марганець,"шосе Лазурний 1-й, буд. 05 кв. 084, Хотин, 62800",760 45 35,havrylo73@example.com
Артимишин,Трохим,Михайлович,Чоловіча,04-01-1959,Мовознавець,місто Феодосія,"площа Водний, буд. 1, Золотоноша, 04897",+380 98 675-96-23,anastasiiaalekseienko@example.net
Девдюк,Спас,Олегович,Чоловіча,26-06-1946,Модель,село Кривий Ріг,"площа Каштанова, буд. 966, Донецьк, 94231",826-76-76,upavlyk@example.com
Токар,Орхип,Володимирович,Чоловіча,04-08-1947,Антрополог,хутір Білозерське,"вулиця Колективний, буд. 42, Благовіщенське, 31144",+380 64 394 91 88,priskazarudnyi@example.org
Салій,Надія,Сергіївна,Жіноча,15-08-1965,Локсмайстер,місто Лебедин,"шосе Стороженка Олега, буд. 750 кв. 8, Світлодарськ, 45545",+380 51 346-81-81,leopold43@example.net
Баштан,Прохір,Олександрович,Чоловіча,07-03-1982,Гірничий інженер,місто Волочиськ,"сквер Виноградна, буд. 8 кв. 8, Коломия, 46507",+380 65 108-47-90,markoisaievych@example.com
Ткач,Зиновій,Олександрович,Чоловіча,29-12-1969,Няня,місто Богуслав,"набережна Матюшенка, буд. 40, Шаргород, 16032",+380 (66) 347-17-48,vitaliipiddubnyi@example.org
Чекалюк,Христина,Романівна,Жіноча,14-08-1968,Мінералог,село Умань,"площа Складська, буд. 399, Молочанськ, 82691",643-73-37,romanchukliubov@example.net
Павличенко,Ярина,Семенівна,Жіноча,14-12-1954,Астрофізик,селище Новомиргород,"шосе Пересипський 2-й, буд. 4, Саки, 75762",+380 40 403-11-11,milena20@example.com
Філіпенко,Пантелеймон,Борисович,Чоловіча,23-02-1941,Складальник,місто Монастирище,"набережна Вапняний 2-й, буд. 19 кв. 673, Суходільськ, 12529",870-45-96,jtryhub@example.com
Андрейко,Марʼяна,Олександрівна,Жіноча,23-12-1967,Стиліст,хутір Сімферополь,"проспект Ювілейний 1-й, буд. 7, Білозерське, 90691",+380 (32) 833-23-31,xdziuba@example.com
Василашко,Владислав,Іванович,Чоловіча,03-09-2001,Клоун,місто Острог,"парк Ткачова, буд. 568, Нікополь, 38791",+380 53 007-23-87,devdiukiakiv@example.com
Шморгун,Вікторія,Арсенівна,Жіноча,17-07-1987,Фізик,місто П'ятихатки,"площа Панаса Саксаганського, буд. 1 кв. 487, Стрий, 89430",+380 64 130-54-88,vitalii04@example.com
Оробець,Борис,Семенович,Чоловіча,27-03-1969,Бізнесмен,село Гірник,"шосе Анатолія Бачинського, буд. 2 кв. 2, Рогатин, 39384",595-21-31,rudykbohuslav@example.org
Андрієвич,Михайло,Васильович,Чоловіча,15-04-1966,Програміст,село Енергодар,"сквер Кондрашина, буд. 970, Приморськ, 41673",759 63 12,tdemianiuk@example.com
Дараган,Володимира,Арсенівна,Жіноча,23-01-1992,Гірник,село Середина-Буда,"набережна 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 608, Святогірськ, 99846",630 57 14,vakulenkonazar@example.org
Свириденко,Трохим,Васильович,Чоловіча,14-01-1942,Диригент,місто Мостиська,"вулиця Листяний, буд. 627 кв. 188, Ізяслав, 09950",066 101 73 00,sdubenko@example.org
Єременко,Ілля,Євгенович,Чоловіча,29-11-1980,Євнух,місто Павлоград,"сквер Зернова, буд. 1 кв. 7, Ясинувата, 91489",+380 (04) 869-87-39,ostapvovk@example.org
Черінько,Михайло,Олександрович,Чоловіча,02-12-2002,Фрілансер,хутір Лутугине,"вулиця Ф. Пішеніна, буд. 12, Покров, 68970",+380 10 696-47-31,jkolodub@example.com
Тичина,Валентин,Володимирович,Чоловіча,07-08-1981,Перекладач,селище Курахове,"проспект Матроський узвіз, буд. 9, Острог, 26487",+380 (25) 897-25-76,dmytrodanchuk@example.org
Зарудна,Євген,Романович,Чоловіча,02-12-1956,Візажист,хутір Вугледар,"парк Пересипський 2-й, буд. 897, Вознесенівка, 21988",+380 (06) 378-60-69,vshamrai@example.net
Хорішко,Любов,Михайлівна,Жіноча,21-12-1972,Фотограф,село Вугледар,"вулиця Локомотивний 1-й, буд. 5 кв. 820, Кагарлик, 03767",+380 43 667-45-39,oleksa62@example.com
Ковалюк,Климент,Дмитрович,Чоловіча,29-01-1965,Астроном,хутір Залізне,"площа Олександра Мурашка, буд. 0, Корсунь-Шевченківський, 07285",+380 (77) 119-70-44,zhuknadiia@example.net
Рубець,Володимира,Дмитрівна,Жіноча,24-11-1979,Художник,село Новоград-Волинський,"провулок 411-ї батареї, буд. 118 кв. 49, Керч, 72805",497-42-17,rkhomyk@example.com
Рубець,Демʼян,Іванович,Чоловіча,09-01-1963,Науковець,селище Мирноград,"провулок Лінія 27-ма, буд. 00 кв. 72, Турка, 85725",025 905-41-42,liudmyla53@example.net
Івасюк,Аврелій,Арсенович,Чоловіча,30-09-1991,Дизайнер,селище Галич,"узвіз Гонтаренко, буд. 892 кв. 0, Нікополь, 78827",535-79-90,oryna21@example.net
Баклан,Соломія,Романівна,Жіноча,11-01-1986,Державний службовець,хутір П'ятихатки,"парк Лузанівський, буд. 80, Сімферополь, 38385",+380 11 055 40 89,alinachumak@example.org
Парасюк,Альберт,Олександрович,Чоловіча,01-07-1988,Графік,місто Кагарлик,"парк Юхима Фесенка, буд. 193, Бориспіль, 26452",034 167 54 88,ustym41@example.com
Опанасенко,Леопольд,Анатолійович,Чоловіча,09-12-1970,Математик,місто Полонне,"проспект Байкал тупик, буд. 081, Черкаси, 67671",000 264-41-22,shchyrytsialiliia@example.net
Сімашкевич,Валерій,Олегович,Чоловіча,28-09-1993,Юрист,селище Алчевськ,"сквер Олексіївська, буд. 7 кв. 18, Скалат, 89905",099 747-91-23,nchalyi@example.org
Супруненко,Аліна,Петрівна,Жіноча,21-07-1971,Паралегал,хутір Мерефа,"проспект Артура Савельєва, буд. 650, Білицьке, 46936",918 61 48,mykhailoaverchenko@example.net
Забарний,Алевтин,Петрович,Чоловіча,22-12-1947,Біолог,місто Острог,"набережна Осипова, буд. 636, Чистякове, 94416",028-91-34,romanvashchenko@example.org
Жайворон,Ірена,Іванівна,Жіноча,11-10-2003,Будник,селище Гайворон,"проспект Флотська, буд. 89 кв. 2, Канів, 27227",+380 84 590 83 32,liubov02@example.com
Радченко,Панас,Іванович,Чоловіча,04-09-1946,Стиліст,село Кам'янка-Дніпровська,"вулиця Митна, буд. 668, Барвінкове, 28952",+380 64 865-81-97,tkabanenko@example.org
Павлик,Альбіна,Григорівна,Жіноча,15-08-1986,Кіноактор,село Бібрка,"проспект 7-ма Лінія Дачі Ковалевського, буд. 02 кв. 8, Іловайськ, 32913",193 93 37,semen58@example.org
Зайченко,Едита,Михайлівна,Жіноча,11-04-1942,Паблік рилейшнз,місто Чигирин,"шосе Радіо, буд. 06, Острог, 92801",054 514 73 79,zinchenkoielysaveta@example.com
Кабалюк,Степан,Максимович,Чоловіча,25-01-1952,Математик,село Нове Давидково,"парк Єфімова, буд. 63 кв. 96, Фастів, 23049",+380 (00) 657-08-06,varvaraandroshchuk@example.com
Перебийніс,Богдан,Юрійович,Чоловіча,09-02-1953,Мовознавець,місто Красилів,"проспект Сергія Ейзенштейна, буд. 958, Баранівка, 73425",+380 (29) 390-74-16,nestor51@example.net
Шухевич,Олег,Петрович,Чоловіча,14-12-1956,Астронавт,хутір Гадяч,"площа Шкіперська, буд. 67 кв. 13, Дергачі, 87408",096 07 66,datsiukpavlo@example.org
Чабан,Варвара,Василівна,Жіноча,06-07-1972,Науковець,хутір Бахчисарай,"набережна Чорноморський 6-й, буд. 8 кв. 18, Буча, 59803",+380 (09) 529-07-76,adam80@example.com
Михайличенко,Вікторія,Андріївна,Жіноча,25-12-1959,Фольклорист,село Умань,"шосе Нафтовиків 3-й, буд. 4, Сніжне, 66259",015 375-31-25,viacheslav31@example.org
Зінчук,Спас,Анатолійович,Чоловіча,28-08-1980,Єгер,місто Заводське,"шосе Трамвайний, буд. 1, Одеса, 42442",+380 96 993-01-66,avrelii71@example.com
Хорішко,Азар,Семенович,Чоловіча,17-10-1955,Доцент,хутір Глухів,"парк Партизанська, буд. 099 кв. 475, Тараща, 68210",178 76 14,sofiiabezborodko@example.com
Шелест,Валентин,Юрійович,Чоловіча,03-09-1951,Підприємець,хутір Баштанка,"вулиця Гімназична, буд. 754, Моршин, 18650",+380 (40) 233-00-83,pylypmykytiuk@example.com
Штокало,Єлисавета,Максимівна,Жіноча,28-03-1981,Художник,селище Володимир-Волинський,"набережна Скидановський узвіз, буд. 76 кв. 585, Дунаївці, 36985",095 503 62 63,tsiutsiuraarkadii@example.org
Аврамчук,Богодар,Михайлович,Чоловіча,26-05-1996,Слідчий,місто Ізяслав,"площа Миколи Бажана, буд. 24 кв. 605, Волочиськ, 97366",004 136 38 90,kostapchuk@example.com
Александренко,Христина,Анатоліївна,Жіноча,12-09-2003,Історик,хутір Кальміуське,"вулиця Софії Перовської, буд. 210 кв. 04, Хмільник, 39536",+380 18 349 42 57,amvrosiionufriienko@example.org
Колодуб,Камілла,Дмитрівна,Жіноча,23-11-1955,Золотар,хутір Яготин,"проспект Курортний, буд. 45 кв. 15, Балаклія, 87676",045 024-52-76,livashchenko@example.org
Макаренко,Охрім,Іванович,Чоловіча,17-04-1968,Паблік рилейшнз,хутір Хотин,"узвіз Геологічна, буд. 0, Шостка, 84366",+380 17 674 28 98,paliimyron@example.net
Василечко,Дан,Андрійович,Чоловіча,15-07-1965,Живописець,місто Ямпіль,"провулок Спортивний, буд. 070 кв. 23, Татарбунари, 04297",+380 36 870-00-94,ezhuravel@example.com
Ґалаґан,Марко,Васильович,Чоловіча,23-10-1975,Вчитель,село Липовець,"площа Кінбурнський, буд. 4, Новояворівськ, 64659",+380 47 505-98-41,ostapieroshenko@example.org
Іваничук,Леопольд,Семенович,Чоловіча,25-07-1992,Електрик,хутір Чернівці,"парк Василя Капніста, буд. 297, Брянка, 27086",+380 07 043 70 24,iustym77@example.org
Таран,Богодар,Романович,Чоловіча,29-03-1976,Будник,хутір Дубровиця,"сквер Красива, буд. 95, Родинське, 97852",+380 58 124-90-94,tytarenkovladyslav@example.net
Швайка,Мілена,Андріївна,Жіноча,26-09-1985,Гінеколог,хутір Копичинці,"сквер Вітчизняна, буд. 83, Шумськ, 63903",545 61 43,baranadam@example.net
Жук,Ольга,Анатоліївна,Жіноча,26-02-1962,Дерун,хутір Нетішин,"вулиця Академічний, буд. 3, Нетішин, 53484",+380 25 185-43-99,ybashtan@example.net
Батіг,Лукʼян,Петрович,Чоловіча,01-11-1997,Стоматолог,хутір Бунге,"площа Новобазарний, буд. 49, Кальміуське, 91071",091 418 32 22,aleksiukokseniia@example.net
Гоголь,Станіслав,Ігорович,Чоловіча,21-01-1969,Гірник,місто Кам'янка-Дніпровська,"провулок Геологічна, буд. 4, Рава-Руська, 42153",059 118-92-17,kharchenkoiefrem@example.com
Зарудний,Галина,Дмитрівна,Жіноча,13-12-1975,Сценарист,місто Чигирин,"набережна Ключовий 1-й, буд. 89 кв. 434, Судак, 52070",850-08-46,iaroshliza@example.com
Гайденко,Богданна,Ігорівна,Жіноча,02-11-1965,Дизайнер,місто Ялта,"сквер Фабрична, буд. 64 кв. 83, Баштанка, 56772",+380 00 581 11 82,zakusyloboleslav@example.net
Корж,Валентина,Петрівна,Жіноча,28-02-1998,Стоматолог,село Благовіщенське,"парк Пляжна, буд. 7 кв. 710, Шахтарськ, 44734",024 943-54-54,wshcherbak@example.org
Дергач,Златослава,Семенівна,Жіноча,06-04-1999,Продюсер,хутір Міусинськ,"сквер Заньковецької, буд. 821 кв. 51, Гнівань, 58811",717-26-70,ssatsiuk@example.com
Іванченко,Дан,Романович,Чоловіча,23-05-1968,Ріелтор,місто Кременчук,"набережна Проточний, буд. 9 кв. 55, Залізне, 42967",+380 (18) 395-61-55,zorian21@example.com
Влох,Тетяна,Андріївна,Жіноча,04-08-1992,Паралегал,селище Калуш,"площа Водопровідний 2-й, буд. 9 кв. 58, Гайворон, 29597",204 90 76,frants85@example.com
Оробець,Максим,Григорійович,Чоловіча,09-03-1959,Гірничий інженер,хутір Новий Буг,"шосе Стовпова, буд. 1, Бердянськ, 98541",075 639 90 89,feofan16@example.com
